Sno,Order Id,Order Date,Delivery Status,Payment Method,Source,Amount,Rejection Reason,,,,,,
117,1552486953,"11:17 PM, October 17 2018",Rejected,COD,Zomato,₹180,Food not delivered,,,,,,
118,1373576479,"03:56 AM, October 17 2018",Delivered,COD,Zomato,₹165,,,,,,,
119,1655722180,"03:44 AM, October 17 2018",Delivered,COD,Zomato,₹160,,,,,,,
120,1107634548,"03:22 AM, October 17 2018",Rejected,COD,Zomato,₹170,Customer non-responsive | 60% of order amount will be refunded,,,,,,
121,1176059747,"03:16 AM, October 17 2018",Rejected,COD,Zomato,₹164,Customer non-responsive | 60% of order amount will be refunded,,,,,,
122,1405536875,"02:23 AM, October 17 2018",Delivered,COD,Zomato,₹260,,,,,,,
123,1625280094,"02:22 AM, October 17 2018",Delivered,COD,Zomato,₹405,,,,,,,
124,1036369007,"02:18 AM, October 17 2018",Delivered,COD,Zomato,₹200,,,,,,,
125,1475140948,"02:02 AM, October 17 2018",Delivered,COD,Zomato,₹135,,,,,,,
126,1266086675,"02:00 AM, October 17 2018",Delivered,COD,Zomato,₹230,,,,,,,
127,1352830560,"01:25 AM, October 17 2018",Rejected,COD,Zomato,₹180,Food not delivered,,,,,,
128,1313119584,"01:08 AM, October 17 2018",Delivered,COD,Zomato,₹147,,,,,,,
129,1062355457,"01:04 AM, October 17 2018",Delivered,COD,Zomato,₹150,,,,,,,
130,1443821964,"02:41 AM, October 16 2018",Delivered,COD,Zomato,₹140,,,,,,,
131,1406715788,"02:33 AM, October 16 2018",Delivered,Online,Zomato,₹214,,,,,,,
132,1675051177,"01:37 AM, October 16 2018",Delivered,Online,Zomato,₹148,,,,,,,
133,1051077839,"03:10 AM, October 15 2018",Delivered,Online,Zomato,₹332,,,,,,,
134,1421235230,"02:41 AM, October 15 2018",Delivered,Online,Zomato,₹213,,,,,,,
135,1162449905,"01:35 AM, October 15 2018",Delivered,Online,Zomato,₹390,,,,,,,
136,1170816777,"01:25 AM, October 15 2018",Delivered,COD,Zomato,₹310,,,,,,,
137,1637788602,"01:10 AM, October 15 2018",Delivered,Online,Zomato,₹318,,,,,,,
138,1458345146,"01:08 AM, October 15 2018",Delivered,COD,Zomato,₹148,,,,,,,
139,1608142682,"01:05 AM, October 15 2018",Delivered,Online,Zomato,₹144,,,,,,,
140,1117149838,"12:57 AM, October 15 2018",Rejected,COD,Zomato,₹155,Customer non-responsive | 60% of order amount will be refunded,,,,,,
141,1301744918,"12:45 AM, October 15 2018",Delivered,COD,Zomato,₹380,,,,,,,
142,1382856985,"12:32 AM, October 15 2018",Delivered,COD,Zomato,₹140,,,,,,,
143,1459578038,"12:22 AM, October 15 2018",Delivered,Online,Zomato,₹218,,,,,,,
144,1484405304,"12:20 AM, October 15 2018",Delivered,Online,Zomato,₹160,,,,,,,
145,1519007378,"12:04 AM, October 15 2018",Delivered,COD,Zomato,₹160,,,,,,,
146,1058793424,"02:43 AM, October 14 2018",Delivered,Online,Zomato,₹166,,,,,,,
147,1116420612,"02:41 AM, October 14 2018",Delivered,Online,Zomato,₹135,,,,,,,
148,1607192171,"02:36 AM, October 14 2018",Delivered,Online,Zomato,₹310,,,,,,,
149,1537625809,"01:26 AM, October 14 2018",Delivered,COD,Zomato,₹150,,,,,,,
150,1349291793,"01:22 AM, October 14 2018",Delivered,COD,Zomato,₹361,,,,,,,
151,1499340531,"12:57 AM, October 14 2018",Rejected,COD,Zomato,₹130,Customer non-responsive | 60% of order amount will be refunded,,,,,,
152,1660734690,"12:52 AM, October 14 2018",Rejected,COD,Zomato,₹290,Customer non-responsive | 60% of order amount will be refunded,,,,,,
153,1431870333,"12:41 AM, October 14 2018",Delivered,Online,Zomato,₹185,,,,,,,
154,1439075688,"12:15 AM, October 14 2018",Delivered,Online,Zomato,₹302,,,,,,,
155,1339882766,"12:11 AM, October 14 2018",Delivered,Online,Zomato,₹256,,,,,,,
156,1134293769,"12:08 AM, October 14 2018",Delivered,Online,Zomato,₹232,,,,,,,
157,1664508053,"11:47 PM, October 13 2018",Delivered,Online,Zomato,₹130,,,,,,,
158,1607629373,"03:55 AM, October 13 2018",Delivered,Online,Zomato,₹130,,,,,,,
159,1029210279,"02:48 AM, October 13 2018",Delivered,Online,Zomato,₹160,,,,,,,
160,1374830810,"02:21 AM, October 13 2018",Delivered,Online,Zomato,₹440,,,,,,,
161,1550796329,"02:21 AM, October 13 2018",Delivered,Online,Zomato,₹430,,,,,,,
162,1500188959,"02:09 AM, October 13 2018",Delivered,Online,Zomato,₹130,,,,,,,
163,1083423727,"01:44 AM, October 13 2018",Rejected,COD,Zomato,₹360,Food not delivered,,,,,,
164,1086620619,"12:39 AM, October 13 2018",Delivered,COD,Zomato,₹155,,,,,,,
165,1380766217,"12:29 AM, October 13 2018",Delivered,Online,Zomato,₹202,,,,,,,
166,1333311170,"12:07 AM, October 13 2018",Delivered,COD,Zomato,₹284,,,,,,,
167,1300203234,"11:52 PM, October 12 2018",Delivered,COD,Zomato,₹131,,,,,,,
168,1390482165,"11:43 PM, October 12 2018",Delivered,Online,Zomato,₹330,,,,,,,
169,1027354955,"02:26 AM, October 12 2018",Delivered,Online,Zomato,₹380,,,,,,,
170,1428155282,"02:12 AM, October 12 2018",Delivered,Online,Zomato,₹150,,,,,,,
171,1632151737,"02:06 AM, October 12 2018",Delivered,COD,Zomato,₹250,,,,,,,
172,1147878633,"01:55 AM, October 12 2018",Delivered,Online,Zomato,₹270,,,,,,,
173,1287525776,"01:55 AM, October 12 2018",Delivered,Online,Zomato,₹280,,,,,,,
174,1271188254,"01:33 AM, October 12 2018",Delivered,Online,Zomato,₹160,,,,,,,
175,1585887151,"12:26 AM, October 12 2018",Delivered,Online,Zomato,₹194,,,,,,,
176,1573875443,"11:49 PM, October 11 2018",Delivered,Online,Zomato,₹1075,,,,,,,
177,1040353123,"11:15 PM, October 11 2018",Delivered,Online,Zomato,₹130,,,,,,,
178,1573790816,"03:16 AM, October 11 2018",Delivered,Online,Zomato,₹180,,,,,,,
179,1294505562,"02:24 AM, October 11 2018",Delivered,COD,Zomato,₹135,,,,,,,
180,1229532910,"02:01 AM, October 11 2018",Delivered,Online,Zomato,₹202,,,,,,,
181,1144335390,"01:50 AM, October 11 2018",Rejected,COD,Zomato,₹130,Food not delivered,,,,,,
182,1304762044,"01:36 AM, October 11 2018",Delivered,Online,Zomato,₹280,,,,,,,
183,1321477008,"01:36 AM, October 11 2018",Delivered,Online,Zomato,₹230,,,,,,,
184,1579361174,"12:37 AM, October 11 2018",Rejected,Online,Zomato,₹318,Wrong customer address | 60% of order amount will be refunded,,,,,,
185,1326677510,"11:56 PM, October 10 2018",Delivered,COD,Zomato,₹156,,,,,,,
186,1479017210,"11:54 PM, October 10 2018",Delivered,COD,Zomato,₹130,,,,,,,
187,1670332885,"09:52 PM, October 10 2018",Delivered,COD,Zomato,₹250,,,,,,,
188,1024709723,"03:33 AM, October 10 2018",Delivered,COD,Zomato,₹289,,,,,,,
189,1159794290,"03:20 AM, October 10 2018",Delivered,Online,Zomato,₹213,,,,,,,
190,1670917233,"03:09 AM, October 10 2018",Delivered,Online,Zomato,₹200,,,,,,,
191,1177759005,"02:52 AM, October 10 2018",Delivered,COD,Zomato,₹130,,,,,,,
192,1195024546,"02:36 AM, October 10 2018",Delivered,Online,Zomato,₹320,,,,,,,
193,1421391567,"01:54 AM, October 10 2018",Delivered,Online,Zomato,₹160,,,,,,,
194,1012945978,"01:35 AM, October 10 2018",Delivered,COD,Zomato,₹160,,,,,,,
195,1277416641,"01:21 AM, October 10 2018",Delivered,Online,Zomato,₹122,,,,,,,
196,1268812804,"01:20 AM, October 10 2018",Delivered,COD,Zomato,₹242,,,,,,,
197,1376536950,"01:03 AM, October 10 2018",User Cancelled,Online,Zomato,₹336,Customer reject due to delay,,,,,,
198,1374725216,"12:42 AM, October 10 2018",Rejected,COD,Zomato,₹246,Customer non-responsive | 60% of order amount will be refunded,,,,,,
199,1296374329,"12:18 AM, October 10 2018",Delivered,Online,Zomato,₹268,,,,,,,
200,1521643280,"12:11 AM, October 10 2018",Delivered,COD,Zomato,₹135,,,,,,,
201,1269419095,"11:34 PM, October 09 2018",Delivered,COD,Zomato,₹170,,,,,,,
202,1045154133,"03:33 AM, October 09 2018",Delivered,Online,Zomato,₹210,,,,,,,
203,1213965356,"02:12 AM, October 09 2018",Delivered,COD,Zomato,₹290,,,,,,,
204,1649719192,"01:59 AM, October 09 2018",Delivered,COD,Zomato,₹269,,,,,,,
205,1200543160,"01:57 AM, October 09 2018",Delivered,COD,Zomato,₹306,,,,,,,
206,1065467886,"01:43 AM, October 09 2018",Delivered,Online,Zomato,₹510,,,,,,,
207,1326479350,"01:40 AM, October 09 2018",Delivered,Online,Zomato,₹150,,,,,,,
208,1301825634,"01:13 AM, October 09 2018",Delivered,COD,Zomato,₹150,,,,,,,
209,1525719854,"01:04 AM, October 09 2018",Delivered,COD,Zomato,₹140,,,,,,,
210,1380756519,"12:50 AM, October 09 2018",Delivered,Online,Zomato,₹304,,,,,,,
211,1519784119,"12:46 AM, October 09 2018",Delivered,Online,Zomato,₹450,,,,,,,
212,1103264055,"12:45 AM, October 09 2018",Delivered,Online,Zomato,₹250,,,,,,,
213,1365581511,"11:38 PM, October 08 2018",Delivered,Online,Zomato,₹204,,,,,,,
214,1253263666,"03:20 AM, October 08 2018",Delivered,Online,Zomato,₹140,,,,,,,
215,1231169777,"02:52 AM, October 08 2018",Delivered,Online,Zomato,₹190,,,,,,,
216,1022317818,"02:27 AM, October 08 2018",Delivered,Online,Zomato,₹210,,,,,,,
217,1263795376,"02:27 AM, October 08 2018",Delivered,COD,Zomato,₹156,,,,,,,
218,1670151649,"02:09 AM, October 08 2018",Delivered,COD,Zomato,₹315,,,,,,,
219,1568579002,"02:07 AM, October 08 2018",Delivered,Online,Zomato,₹148,,,,,,,
220,1443528341,"02:05 AM, October 08 2018",Delivered,Online,Zomato,₹137,,,,,,,
221,1136000102,"01:53 AM, October 08 2018",Delivered,Online,Zomato,₹609,,,,,,,
222,1356306376,"01:39 AM, October 08 2018",Delivered,Online,Zomato,₹142,,,,,,,
223,1133584183,"01:00 AM, October 08 2018",Delivered,Online,Zomato,₹160,,,,,,,
224,1672471535,"12:54 AM, October 08 2018",Delivered,Online,Zomato,₹240,,,,,,,
225,1346394078,"12:38 AM, October 08 2018",Delivered,Online,Zomato,₹240,,,,,,,
226,1210008996,"12:33 AM, October 08 2018",Delivered,Online,Zomato,₹534,,,,,,,
227,1636006366,"12:25 AM, October 08 2018",Delivered,COD,Zomato,₹130,,,,,,,
228,1092260840,"11:59 PM, October 07 2018",Delivered,Online,Zomato,₹176,,,,,,,
229,1253963420,"11:54 PM, October 07 2018",Delivered,Online,Zomato,₹374,,,,,,,
230,1315530441,"11:53 PM, October 07 2018",Delivered,Online,Zomato,₹276,,,,,,,
231,1567457048,"11:34 PM, October 07 2018",Delivered,Online,Zomato,₹920,,,,,,,
232,1276884329,"11:33 PM, October 07 2018",Delivered,Online,Zomato,₹368,,,,,,,
